valuedate,revenue
2020-07-23,6728
2020-07-24,6180
2020-07-25,6216
2020-07-26,5896
2020-07-27,8475
2020-07-28,8927
2020-07-29,7465
2020-07-30,7270
2020-07-31,6004
2020-08-01,7832
2020-08-02,6883
2020-08-03,10762
2020-08-04,10543
2020-08-05,10100
2020-08-06,8892
2020-08-07,8116
2020-08-08,6639
2020-08-09,5947
2020-08-10,9365
2020-08-11,9026
2020-08-12,9157
2020-08-13,7608
2020-08-14,8078
2020-08-15,5337
2020-08-16,5291
2020-08-17,8212
2020-08-18,8329
2020-08-19,8487
2020-08-20,8973
2020-08-21,7986
2020-08-22,7071
2020-08-23,5376
2020-08-24,7244
2020-08-25,8872
2020-08-26,7659
2020-08-27,7697
2020-08-28,8166
2020-08-29,6171
2020-08-30,6024
2020-08-31,6551
2020-09-01,10838
2020-09-02,9378
2020-09-03,9555
2020-09-04,9750
2020-09-05,6868
2020-09-06,7150
2020-09-07,9348
2020-09-08,8926
2020-09-09,8469
2020-09-10,7747
2020-09-11,8048
2020-09-12,6970
2020-09-13,6003
2020-09-14,9112
2020-09-15,8011
2020-09-16,6778
2020-09-17,7820
2020-09-18,7024
2020-09-19,6288
2020-09-20,7095
2020-09-21,9086
2020-09-22,9230
2020-09-23,7618
2020-09-24,6741
2020-09-25,7062
2020-09-26,6412
2020-09-27,5807
2020-09-28,8486
2020-09-29,8232
2020-09-30,10964
2020-10-01,10234
2020-10-02,9796
2020-10-03,8955
2020-10-04,8433
2020-10-05,9954
2020-10-06,9331
2020-10-07,8927
2020-10-08,8346
2020-10-09,7528
2020-10-10,6926
2020-10-11,6254
2020-10-12,5546
2020-10-13,10485
2020-10-14,7994
2020-10-15,7937
2020-10-16,7192
2020-10-17,5908
2020-10-18,5716
2020-10-19,9054
2020-10-20,9067
2020-10-21,8866
2020-10-22,8007
2020-10-23,7257
2020-10-24,5198
2020-10-25,5960
2020-10-26,7547
